"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"03/04/2021 12:28:23","1327","VPN","VPN IKEv2","Send Dead Peer Detection Response","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","72.204.214.50","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: GEC-BB;  IKEv2 InitSPI: 0x9b2357d127af12b3; IKEv2 RespSPI: 0x7a15cdeeabea71f7","IKEv2 Send Dead Peer Detection Response",""
"03/04/2021 12:28:23","84","Network","DNS","Name Resolve Failed","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","failed in DNS resolve gcsd.global.sonicwall.com","Failed to resolve name",""
"03/04/2021 12:28:29","662","Wireless","SonicPoint","Non SonicPoint Traffic Drop","Standard","Error","2048","D4:AE:52:B9:7C:71","DELL","X3","WLAN","FF:FF:FF:FF:FF:FF","Unknown","","","10.10.20.137","137","","","","","10.10.20.255","137","","","","","udp","","","78","","","","","","","","","","","","","","","drop","","","Drop WLAN traffic from non-SonicPoint devices",""
"03/04/2021 12:28:30","200","Users","Authentication Access","Admin Password Error From CLI","Standard Note String","Warning","","","","","","","","","","39.42.118.244","63451","","","","","","","","","","","","","","","","","","MikroTik","","","","","","","","","","","NA","","","CLI administrator login denied due to bad credentials",""
"03/04/2021 12:28:30","662","Wireless","SonicPoint","Non SonicPoint Traffic Drop","Standard","Error","2048","D4:AE:52:B9:7C:71","DELL","X3","WLAN","FF:FF:FF:FF:FF:FF","Unknown","","","10.10.20.137","137","","","","","10.10.20.255","137","","","","","udp","","","78","","","","","","","","","","","","","","","drop","","","Drop WLAN traffic from non-SonicPoint devices",""
"03/04/2021 12:28:31","1010","Users","Radius Authentication","Using LDAP Without TLS","Simple","Alert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","","Using LDAP without TLS - highly insecure",""
"03/04/2021 12:28:31","662","Wireless","SonicPoint","Non SonicPoint Traffic Drop","Standard","Error","2048","D4:AE:52:B9:7C:71","DELL","X3","WLAN","FF:FF:FF:FF:FF:FF","Unknown","","","10.10.20.137","137","","","","","10.10.20.255","137","","","","","udp","","","78","","","","","","","","","","","","","","","drop","","","Drop WLAN traffic from non-SonicPoint devices",""
"03/04/2021 12:28:31","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","69","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 63769, Destination: 172.16.250.228, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:28:32","84","Network","DNS","Name Resolve Failed","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","failed in DNS resolve sonicsandboxmia.global.sonicwall.com","Failed to resolve name",""
"03/04/2021 12:28:32","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","69","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 63769, Destination: 4.2.2.2, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:28:33","403","VPN","VPN IKE","Negotiation Aborted","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","IKE negotiation aborted due to Timeout",""
"03/04/2021 12:28:33","351","VPN","VPN IKE","IKE Main Mode Started","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","IKE Initiator: Start Main Mode negotiation (Phase 1)",""
"03/04/2021 12:28:34","241","VPN","VPN IKE","VPN No NAT Device Detected","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","NAT Discovery :  No NAT/NAPT device detected between IPsec Security gateways",""
"03/04/2021 12:28:34","605","VPN","VPN IKE","Received Unencrypted Packet","Standard Note String","Warning","","","","","","","","","","4.31.139.126","500","","","","","4.14.22.130","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","Received unencrypted packet in crypto active state",""
"03/04/2021 12:28:34","411","VPN","VPN IKE","Notification on Malformed Payload","Standard Note String","Warning","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","Received notify: PAYLOAD_MALFORMED",""
"03/04/2021 12:28:38","406","VPN","VPN IKE","Duplicate Packet Dropped","Standard Note String","Warning","","","","","","","","","","4.31.139.126","500","","","","","4.14.22.130","500","","","","","udp","","","","","","","","","","","","","","","","","","drop","","VPN Policy: Baton Rouge","Received packet retransmission. Drop duplicate packet",""
